ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
386,Himno Seleccion Española La Roja Baila,,ES,General,,https://genius.com/search?q=HIMNO%20SELECCION%20ESPA%C3%91OLA%20LA%20ROJA%20BAILA,HIMNO SELECCION ESPAÑOLA LA ROJA BAILA
387,Dejad Que Las Niñas Se Acerquen A Mi,Hombres G,ES,General,,https://genius.com/search?q=HOMBRES%20G%20DEJAD%20QUE%20LAS%20NI%C3%91AS%20SE%20ACERQUEN%20A%20MI,HOMBRES G DEJAD QUE LAS NIÑAS SE ACERQUEN A MI
388,Devuelveme A Mi Chica,Hombres G,ES,General,,https://genius.com/search?q=HOMBRES%20G%20DEVUELVEME%20A%20MI%20CHICA,HOMBRES G DEVUELVEME A MI CHICA
389,Sueltate El Pelo,Hombres G,ES,General,,https://genius.com/search?q=HOMBRES%20G%20SUELTATE%20EL%20PELO,HOMBRES G SUELTATE EL PELO
390,Venezia,Hombres G,ES,General,,https://genius.com/search?q=HOMBRES%20G%20VENEZIA,HOMBRES G VENEZIA
391,Visite Nuestro Bar,Hombres G,ES,General,,https://genius.com/search?q=HOMBRES%20G%20VISITE%20NUESTRO%20BAR,HOMBRES G VISITE NUESTRO BAR
392,Voy A Pasarmelo Bien,Hombres G,ES,General,,https://genius.com/search?q=HOMBRES%20G%20VOY%20A%20PASARMELO%20BIEN,HOMBRES G VOY A PASARMELO BIEN
393,Huecco La Reina De Los Angelotes,,ES,General,,https://genius.com/search?q=HUECCO%20LA%20REINA%20DE%20LOS%20ANGELOTES,HUECCO LA REINA DE LOS ANGELOTES
394,Ilegales Soy Un Macarra,,ES,General,,https://genius.com/search?q=ILEGALES%20SOY%20UN%20MACARRA,ILEGALES SOY UN MACARRA
395,El Himno De Mi Peña,Isabel Aaiun,ES,General,,https://genius.com/search?q=ISABEL%20AAIUN%20EL%20HIMNO%20DE%20MI%20PE%C3%91A,ISABEL AAIUN EL HIMNO DE MI PEÑA
396,Hard Remix Potra Salvaje Hard Remix,Isabel Aaiun,ES,General,,https://genius.com/search?q=ISABEL%20AAIUN%20HARD%20REMIX%20POTRA%20SALVAJE%20HARD%20REMIX,ISABEL AAIUN HARD REMIX POTRA SALVAJE HARD REMIX
